Region/country/area, Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
World,Hydropower,782156.806,789888.178,802804.584,823138.826,845365.282,870961.832,895007.176,926119.358,957428.457,991865.763,1025719.930,1057262.144,1090270.418,1137301.886,1175773.068,1210485.674,1245999.238,1270980.987,1293983.708,1312349.044,1334350.424,1362086.636,1392512.209
,Renewable hydropower,697190.256,709088.628,720229.034,740451.276,761366.732,784119.282,805482.626,832419.808,861809.907,891627.713,925667.880,953988.934,984665.124,1029572.642,1066302.324,1098583.930,1129092.454,1151137.323,1173623.544,1191742.880,1213171.500,1234382.112,1255454.185
,Pumped storage,84966.550,80799.550,82575.550,82687.550,83998.550,86842.550,89524.550,93699.550,95618.550,100238.050,100052.050,103273.210,105605.294,107729.244,109470.744,111901.744,116906.784,119843.664,120360.164,120606.164,121178.924,127704.524,137058.024
,Marine,237.750,239.750,242.750,243.750,242.750,240.750,239.750,242.050,245.050,245.265,249.595,502.680,509.409,509.616,513.027,512.338,522.468,526.764,526.856,524.836,523.391,523.068,523.348
,Wind,16964.244,23972.666,30735.013,38670.717,47684.973,58408.316,73161.274,91543.825,115561.007,150139.750,181090.194,220249.470,267349.840,300051.920,349540.627,416421.401,467013.170,515082.306,563864.083,622779.606,733564.569,825663.023,898855.912
,Onshore wind energy,16897.294,23896.716,30495.063,38160.167,47089.223,57722.566,72277.524,90449.575,114118.557,148006.200,178034.844,216473.660,262015.890,292880.670,341048.857,404697.331,452666.420,496245.106,540273.683,594487.306,699195.470,771414.124,836232.712
,Offshore wind energy,66.950,75.950,239.950,510.550,595.750,685.750,883.750,1094.250,1442.450,2133.550,3055.350,3775.810,5333.950,7171.250,8491.770,11724.070,14346.750,18837.200,23590.400,28292.300,34369.099,54248.899,62623.200
,Solar,1225.824,1481.173,1826.328,2354.054,3436.496,4945.051,6499.369,8977.175,15251.244,23591.310,41577.206,73940.655,104227.227,141417.262,180777.273,229066.820,301307.203,396351.511,492575.452,595807.823,728058.143,872403.276,1061632.127
,Solar photovoltaic,806.824,1092.373,1437.528,1964.854,3047.296,4543.851,6087.169,8498.375,14716.444,22825.210,40311.386,72236.635,101660.707,137474.929,176177.140,224215.377,296335.760,391279.998,486763.118,589429.339,721545.959,866026.813,1055029.774
,Concentrated solar power,419.000,388.800,388.800,389.200,389.200,401.200,412.200,478.800,534.800,766.100,1265.820,1704.020,2566.520,3942.333,4600.133,4851.443,4971.443,5071.513,5812.334,6378.484,6512.184,6376.463,6602.353
,Bioenergy,28428.425,31813.777,33345.969,35550.446,38500.786,43680.782,47568.808,51048.220,55097.202,61959.597,66099.381,73098.130,77858.838,84868.329,91095.407,97537.154,106498.124,112091.407,119247.107,125879.340,135539.406,142606.096,150671.298
,Solid biofuels and renewable municipal waste,25509.466,28990.829,30260.291,32014.052,34137.301,38076.299,41251.622,43766.875,47108.600,51883.411,54664.405,59674.832,62591.005,68687.731,73596.601,79286.563,87359.369,92318.100,98359.663,103289.335,111674.695,118877.957,126417.772
,Renewable municipal waste,3564.880,3913.475,4076.950,4197.495,4319.525,4594.881,4958.164,4900.899,5111.280,5397.580,6700.103,7037.816,7515.831,8617.240,8827.786,9746.480,10620.035,11545.618,12750.699,14243.201,17067.295,19428.344,21993.562
